civilite,prenom,nom,societe,site,departement,service,fonction,manager-prenom,manager-nom,""nom de pc"",""marque pc"",""date de naissance"",""telephone fixe"",""telephone portable""
m.,alban,dumas,pharmgreen,paris,ou_comrpublique,ou_relamedia,redacteur,aurelien,brunet,pa78671,hp,02/12/1987,0197796902,0615034263
m.,aurelien,brunet,pharmgreen,paris,ou_comrpublique,ou_relamedia,"responsable relation media",noemie,leloir,pa68867,dell,12/03/1985,0114409115,0778858220
m.,corentin,arnaud,pharmgreen,paris,ou_comrpublique,ou_comint,"community manager",gaelle,colin,pa11094,dell,01/01/1991,0148522008,0710630503
m.,damien,calouhouet,i-magyne,paris,ou_comrpublique,ou_externe,monteur,aurelien,brunet,-,-,-,-,0612558490
m.,diego,aubert,pharmgreen,paris,ou_comrpublique,ou_comint,"community manager",gaelle,colin,pa19149,dell,14/05/1989,0198004015,0736672209
mme,elsa,tashi,pharmgreen,paris,ou_comrpublique,ou_relamedia,redacteur,aurelien,brunet,pa10326,dell,08/12/1996,0199523757,0759440381
m.,erwan,faure,pharmgreen,paris,ou_comrpublique,ou_comint,"charge de communication",gaelle,colin,pa10218,-,17/06/1993,0127364911,0707561174
mme,felianne,fernandez,pharmgreen,paris,ou_comrpublique,ou_relamedia,redacteur,aurelien,brunet,pa92969,dell,17/11/1992,0122223912,0655605121
m.,felix,jean,"studio dlight",nantes,ou_comrpublique,ou_externe,monteur,aurelien,brunet,-,-,-,-,0684213048
mme,gaelle,colin,pharmgreen,paris,ou_comrpublique,ou_comint,"responsable communication",noemie,leloir,pa23669,dell,23/06/1999,0146389837,0625101497
m.,gaetan,roussel,pharmgreen,paris,ou_comrpublique,ou_gesmar,webmaster,gaelle,colin,pa74884,dell,27/10/1994,0181708327,0622836246
mme,ines,henry,pharmgreen,paris,ou_comrpublique,ou_gesmar,webmaster,gaelle,colin,pa39469,dell,05/01/2000,0138585445,0685150170
mme,laurence,guerin,pharmgreen,paris,ou_comrpublique,ou_gesmar,"designer graphique",gaelle,colin,pa63117,dell,20/07/1990,0114806301,0642681764
m.,loic,blanc,pharmgreen,paris,ou_comrpublique,ou_comint,"charge en droit de la communication",gaelle,colin,pa88356,dell,03/11/1982,0160352162,0747070420
m.,lukas,rousseau,pharmgreen,paris,ou_comrpublique,ou_gesmar,photographe,gaelle,colin,pa74987,dell,19/04/1993,0199526389,0742450021
m.,mathias,muller,pharmgreen,paris,ou_comrpublique,ou_gesmar,"community manager",gaelle,colin,pa63498,dell,08/12/2000,0112691924,0695993512
mme,noemie,leloir,pharmgreen,paris,ou_comrpublique,-,"directrice communication et relations publiques",camille,martin,pa68385,dell,14/11/1994,0165300831,0628752957
m.,ravi,martin,pharmgreen,paris,ou_comrpublique,ou_relamedia,redacteur,aurelien,brunet,pa44820,dell,27/04/2000,0158410241,0685102390
mme,regina,illaconnese,pharmgreen,paris,ou_comrpublique,ou_relamedia,"chargee relation presse",aurelien,brunet,pa99009,dell,16/11/1994,0155106945,0643567057
mme,salma,singh,pharmgreen,paris,ou_comrpublique,ou_relamedia,redacteur,aurelien,brunet,pa58693,dell,18/03/1995,0112550362,0763025412
mme,sophia,kusmerowic,pharmgreen,paris,ou_comrpublique,ou_relamedia,"chargee relation presse",aurelien,brunet,pa76764,dell,10/08/1988,0134259365,0732836175
mme,amina,diallo,pharmgreen,paris,ou_dptjur,ou_droitsso,juriste,fauve,holth,pa52039,-,-,-,-
m.,diego,fernandez,pharmgreen,paris,ou_dptjur,ou_protecdon,juriste,fauve,holth,pa99523,dell,19/03/1987,0132005698,-
mme,fatou,ba,pharmgreen,paris,ou_dptjur,ou_protecdon,juriste,fauve,holth,pa46325,lenovo,13/03/1984,0136923365,-
mme,faustine,denis,pharmgreen,paris,ou_dptjur,ou_propint,juriste,fauve,holth,pa51856,hp,15/03/1983,0102226399,-
mme,fauve,holth,pharmgreen,paris,ou_dptjur,-,"directeur juridique",camille,martin,pa87056,lenovo,08/01/1988,0169521011,0757881221
mme,helene,cault,pharmgreen,paris,ou_dptjur,ou_propint,juriste,fauve,holth,pa26363,lenovo,30/06/1985,0155916179,-
mme,irene,idr-bongo,"livingston & associes",paris,ou_dptjur,ou_externe,avocat,fauve,holth,-,-,-,0142995102,-
m.,jeremie,allert,"livingston & associes",paris,ou_dptjur,ou_externe,juriste,fauve,holth,-,-,-,0123954236,-
m.,kenji,tanaka,pharmgreen,paris,ou_dptjur,ou_propint,juriste,fauve,holth,pa05632,hp,17/10/2001,0187436250,-
m.,luca,rossi,pharmgreen,paris,ou_dptjur,ou_droitsso,juriste,fauve,holth,pa04236,-,-,-,-
mme,nadia,culcuu,"livingston & associes",paris,ou_dptjur,ou_externe,juriste,fauve,holth,-,-,-,0168235541,-
m.,remi,advezekt,pharmgreen,paris,ou_dptjur,ou_protecdon,juriste,fauve,holth,pa12540,lenovo,28/05/1997,0488168544,-
m.,robin,bourgeois,pharmgreen,paris,ou_dptjur,ou_protecdon,juriste,fauve,holth,pa33490,hp,17/07/1997,0130797419,-
m.,serge,kalfandier,"livingston & associes",paris,ou_dptjur,ou_externe,avocat,fauve,holth,-,-,-,0187569924,-
m.,yann,boyer,pharmgreen,paris,ou_dptjur,ou_protecdon,juriste,fauve,holth,pa48690,lenovo,30/03/1992,0198705216,-
